"Reference","Species","Trait","Garden","Range","PC1SD","LatSD"
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","size",3,"N",0.782116254,3.17287195
"Maron et al. (2004)","Hypericum perforatum","size",3,"N",1.775802871,4.057857125
"Erfmeier and Bruelheide (2005)","Rhododendron ponticum","size",3,"N",1.108255519,2.768186181
"Bossdorf et al. (2008)","Senecio inaequidens","size",3,"N",1.385542575,1.87714887
"Cano et al. (2008)","Senecio pterophorus","size",3,"N",0.586047976,1.2025051
"Schlaepfer et al. (2010)","Solidago gigantea","size",3,"N",2.569385692,4.128696727
"Schlaepfer et al. (2010)","Solidago gigantea","survival",3,"N",0.793816703,4.128696727
"Maron et al. (2004)","Hypericum perforatum","defence",4,"N",1.369113348,3.818792252
"Schlaepfer et al. (2010)","Solidago gigantea","growth",4,"N",0.707227917,4.128696727
"Maron et al. (2004)","Hypericum perforatum","physiology",4,"N",1.157185555,3.934186847
"Cano et al. (2008)","Senecio pterophorus","physiology",4,"N",0.998906267,1.2025051
"Schlaepfer et al. (2010)","Solidago gigantea","physiology",4,"N",1.490076056,4.128696727
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","reproduction",4,"N",1.468442493,3.17287195
"Maron et al. (2004)","Hypericum perforatum","reproduction",4,"N",1.411908101,3.934186847
"Cano et al. (2008)","Senecio pterophorus","reproduction",4,"N",0,1.2025051
"Schlaepfer et al. (2010)","Solidago gigantea","reproduction",4,"N",0.931734095,4.128696727
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","size",4,"N",1.084086467,3.17287195
"Maron et al. (2004)","Hypericum perforatum","size",4,"N",1.260310748,3.934186847
"Bossdorf et al. (2008)","Senecio inaequidens","size",4,"N",1.482689771,1.87714887
"Schlaepfer et al. (2010)","Solidago gigantea","size",4,"N",2.428462376,4.128696727
"Schlaepfer et al. (2010)","Solidago gigantea","survival",4,"N",1.345635719,4.128696727
